Title,ID,characterId,actionName,atlasPath,startFrameIndex,endFrameIndex,durationMs
Type,int,int,str,str,int,int,int
Description,Animation config ID,Character config ID,Action name,Laya atlas resource,Inclusive logical start frame,Inclusive logical end frame,Total playback duration in milliseconds
UsedSize,c,c,c,c,c,c,c
,100101,1001,idle,character/1001/character-animation.atlas,0,5,1002
,100102,1001,walk,character/1001/character-animation.atlas,6,11,600
,100103,1001,attack,character/1001/character-animation.atlas,12,17,498
,100201,1002,idle,character/1002/character-animation.atlas,0,5,1002
,100202,1002,walk,character/1002/character-animation.atlas,6,11,600
,100203,1002,attack,character/1002/character-animation.atlas,12,17,600
,100301,1003,idle,character/1003/character-animation.atlas,0,5,1002
,100302,1003,walk,character/1003/character-animation.atlas,6,11,600
,100303,1003,attack,character/1003/character-animation.atlas,12,17,600
