Title,ID,name,objType,hp,speed,attack,defense,magicDefense,resPath,description
Type,int,str,int,int,float,int,int,int,str,str
Description,Config ID server needed,Client display name,Scene object type server needed,Max HP server needed,Move speed server needed,Attack server needed,Physical defense server needed,Magic defense server needed,Client resource path,Client description
UsedSize,cs,c,cs,cs,cs,cs,cs,cs,c,c
,1001,Warrior,2,320,52,24,30,16,sceneObj/monster-01,Melee frontline with high HP and physical defense
,1002,Mage,2,190,58,42,10,22,sceneObj/monster-02,Ranged magic damage dealer with low physical defense
,1003,Priest,2,240,54,24,16,30,sceneObj/boss-01,Support caster with balanced survival and high magic defense
,2001,DefenseTower,1,1000,0,30,50,50,sceneObj/tower-01,Basic defense tower
,3001,NormalBullet,3,1,300,20,0,0,sceneObj/bullet-01,Basic bullet
,3002,FireArrow,3,1,200,100,0,0,sceneObj/bullet-02,Area damage bullet
,4001,Player,6,1000,100,50,30,30,sceneObj/player,Main character
