Title,ID,Key,Usage,Font,FontSize,Color,Bold,Stroke,StrokeColor,Align,VAlign
Type,int,str,str,str,int,str,bool,int,str,str,str
Description,样式ID,语义键,适用场景,字体资源,字号,文字颜色,是否粗体,描边像素,描边颜色,水平对齐,垂直对齐
UsedSize,c,c,c,c,c,c,c,c,c,c,c
,1001,startup.status,启动初始化状态,,40,#7777f1,true,0,,center,middle
,1002,loading.progress,加载进度文字,res://562d5d5c-585b-4379-9a0f-65091e0d0d4e,20,#d8e2fa,true,1,#25345c,center,middle
,1101,login.input,登录输入文字,,32,#2e2e5d,true,0,,center,middle
,1102,login.primary,登录主按钮文字,,32,#292980,true,0,,center,middle
,2001,page.title,页面主标题,,36,#ffe6a8,true,3,#4c4c44,center,middle
,2101,dialog.title,通用弹窗标题,,32,#ffe6a8,true,2,#4c4c44,center,middle
,2102,dialog.body,通用弹窗正文,,22,#4c4c44,false,0,,center,middle
,2201,button.primary,主要操作按钮,,24,#ffffff,true,2,#513116,center,middle
,2202,button.secondary,次要操作按钮,,24,#ffffff,true,2,#234955,center,middle
,2203,dialog.closeFallback,关闭按钮文字兜底,,34,#4c4c44,false,0,,center,middle
,3001,hud.entityName,战斗实体名称,,16,#e1e1e1,true,1,#3b3b3b,center,
,3002,hud.playerLevel,玩家等级数字,,16,#fff3d9,true,2,#241810,center,middle
,3003,hud.playerName,玩家名称,,18,#fff0d5,true,2,#2b1d16,left,middle
,3004,hud.value,顶部资源数值,,17,#fff3dc,true,2,#2b1d16,center,middle
,3101,nav.normal,主导航未选中,,32,#f1dfbc,true,5,#4c4c44,center,middle
,3102,nav.selected,主导航选中,,32,#ffd66b,true,5,#6a3e12,center,middle
,4001,battle.pause,战斗暂停标题,,38,#fff3d9,true,4,#172a35,center,middle
,4002,battle.speed,战斗速度数值,,27,#fff3d9,true,3,#234955,center,middle
,4101,battle.damage.normal,普通伤害跳字,,30,#fff3d9,true,3,#3a2014,center,middle
,4102,battle.damage.critical,暴击伤害跳字,,36,#ffd66b,true,4,#6a3e12,center,middle
,4103,battle.heal,治疗恢复跳字,,30,#8fe08a,true,3,#183d25,center,middle
,4201,result.victory,战斗胜利标题,,48,#ffe6a8,true,4,#6a3e12,center,middle
,4202,result.defeat,战斗失败标题,,48,#f2a6a6,true,4,#591f2a,center,middle
